x0,y0,r0,dx0,dy0,x1,y1,r1,dx1,dy1,x2,y2,r2,dx2,dy2
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
4.0,5.0,0.4,0.0,0.0,8.0,6.5,0.4,0.0,0.0,8.0,10.0,0.4,0.0,0.0
